groupMetadataID,vehicleID,Route,driver,operator,experimentID,other.Objective,other.MapVersion,other.Weather_Lighting,other.Weather_Precipitation,other.StackVersion,other.Weather,other.Map,other.Notes
d3698592-ef9d-11ee-b966-fb353e7798cd,Van1,Red,1,2,1693325330,Single Vehicle,V3,Mostly Cloudy,No precipitation,1.2.1,,,
fd1ab258-efa7-11ee-b966-fb353e7798cd,Van1,Red,3,2,1693332650,Single Vehicle,V3,Mostly Cloudy,No precipitation,1.2.1,,,
8347b862-efad-11ee-b966-fb353e7798cd,Van1,Red,3,2,1693335057,Single Vehicle,V3,Mostly Cloudy,No precipitation,1.2.1,,,
68c289fa-dbd4-11ee-a158-97f8443fd730,Van1,Blue,3,2,1693497944,Single Vehicle,V2f,Partly Cloudy,No precipitation,1.2.2,,,
8c57e8ac-dbec-11ee-a158-97f8443fd730,Van1,Blue,3,2,1693501873,Single Vehicle,V2F,Clear,No precipitation,1.2.2,,,
aa86a660-dc05-11ee-a158-97f8443fd730,Van1,Blue,3,2,1693507789,Single Vehicle,V2f,Clear,No precipitation,1.2.2,,,
69ab88ec-dc17-11ee-a158-97f8443fd730,Van1,Blue,3,2,1693925337,Single Vehicle,V2f,Clear,No precipitation,1.2.2,,,
e2079a78-dc1d-11ee-a158-97f8443fd730,Van1,Blue,3,2,1693927674,Single Vehicle,V2F,Clear,No precipitation,1.2.2,,,
a17c1280-ea10-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1693930650,Single Vehicle,V2F,Clear,No precipitation,1.2.2,,,
817d6848-efb6-11ee-b966-fb353e7798cd,Van1,Red,3,2,1693934067,Single Vehicle,V3,Partly Cloudy,No precipitation,1.2.2,,,
be857244-efc0-11ee-b966-fb353e7798cd,Van1,Red,3,2,1693936918,Single Vehicle,V3,Partly Cloudy,No precipitation,1.2.2,,,
fc211bb2-efca-11ee-b966-fb353e7798cd,Van1,Red,3,2,1694106141,Map Verification,V4,Partly Cloudy,No precipitation,1.2.2,,,
ed7f2038-ea1e-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1694110308,Map Verification,V3,Partly Cloudy,No precipitation,1.2.2,,,
58263e34-a45c-11ee-88ec-eb6a8d5269b4,OUPacifica,,2,,7,,,,,,"80 F, clear, dry",ohio_athens_blue_v3,Started left onto Richland Avenue due to default routing. Manual control on most of Court street due to student count and vehicle parking
40706f50-f03b-11ee-b96e-fb353e7798cd,Van1,Green,3,2,1694530022,Map Verification,V4.45,Cloudy,No precipitation,1.2.3,,,
3a7dc9a6-f042-11ee-b974-fb353e7798cd,Van1,Green,3,2,1694532280,Single Vehicle,V4.45,Mostly Cloudy,No precipitation,1.2.3,,,
ece2a8be-f047-11ee-b97d-fb353e7798cd,Van1,Green,3,2,1694533929,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.3,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,Van1,Green,3,2,1694534890,Single Vehicle,V4.45,Cloudy,Rain,1.2.3,,,
3ec95686-f053-11ee-b988-fb353e7798cd,Van1,Green,3,2,1694541382,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.3,,,
cf7148d8-f058-11ee-b98a-fb353e7798cd,Van1,Green,3,2,1694542999,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.3,,,
7f824ea2-f05e-11ee-b993-fb353e7798cd,Van1,Green,3,2,1694544542,Single Vehicle,V4.45,Cloudy,No precipitation,1.2.3,,,
6d2ea45a-c839-11ee-a7fc-dd032dba19e8,OUPacifica,,2,,11,,,,,,"80 F, clear, dry",ohio_athens_red_v4,"Traffic light when turning on to Columbus road not visible, will require manual control until fixed."
20cbfe8c-ea2b-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1694706909,Map Verification,V3,Clear,No precipitation,1.2.3,,,
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1694709875,Single Vehicle,V3,Clear,No precipitation,1.2.3,,,
64875cc0-d054-11ee-9435-f7e542e2436c,Van2,Blue,3,2,1694716007,Single Vehicle,V3,Clear,No precipitation,1.2.3,,,
8b0593cc-cb4e-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,9,,,,,,"80 F, clear, dry",ohio_athens_green_v4.45,"Generally close to right side of road, most manual take overs due to approaching side of road"
57d240d6-ea4d-11ee-b297-3b0ad9d5d6c6,Van1,Blue,3,2,1694719259,Single Vehicle,V3,Clear,No precipitation,1.2.3,,,
c335d84c-a45c-11ee-88ec-eb6a8d5269b4,OUPacifica,,2,,8,,,,,,"80 F, clear, dry",ohio_athens_blue_v3,Started left onto Richland Avenue due to default routing. Manual control on most of Court street due to student count and vehicle parking
01e65360-efd4-11ee-b966-fb353e7798cd,Van1,Red,1,2,1695139554,Single Vehicle,V4,Clear,No precipitation,1.2.3,,,
1b6aca0e-efdf-11ee-b966-fb353e7798cd,Van1,Red,1,2,1695147555,Single Vehicle,V4,Clear,No precipitation,1.2.3,,,
72a03d4a-efe9-11ee-b966-fb353e7798cd,Van1,Red,1,2,1695149842,Single Vehicle,V4,Clear,No precipitation,1.2.3,,,
8fa6fe80-c869-11ee-a7fc-dd032dba19e8,OUPacifica,,2,,12,,,,,,"80 F, clear, dry",ohio_athens_red_v4,"Traffic light when turning on to Columbus road not visible, will require manual control until fixed."
82d39c74-ea59-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,2,1695308968,Single Vehicle,V3,Clear,No precipitation,1.2.4,,,
b76f33be-ea61-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,2,1695312076,Single Vehicle,V3,Clear,No precipitation,1.2.4,,,
17876fec-ea66-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,2,1695314661,Single Vehicle,V3,Clear,No precipitation,1.2.4,,,
5fcc4fd8-ea71-11ee-b297-3b0ad9d5d6c6,Van1,Blue,1,2,1695321688,Single Vehicle,V3,Clear,No precipitation,1.2.4,,,
837fc882-cb5a-11ee-909c-e1dc60cf66f9,OUPacifica,,2,,9,,,,,,"80 F, clear, dry",ohio_athens_green_v4.45,"Generally close to right side of road, most manual take overs due to approaching side of road"
