groupMetadataID,start_time,end_time,nummsgs,filebase,folder,vehicleID,experimentID,route,isOneMode,modes,auto_count,manual_count,percent_auto
64737d98-d312-11ee-b437-336917683bb8,1.70691e+18,1.70691e+18,1433870,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1706906620/20240202154340.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1706906620/20240202154340.record.00000,OUPacifica,42,Blue Route,False,both,51822,22593,0.6963918564805482
06cbdbc0-db4d-11ee-a158-97f8443fd730,0.0,1.6935e+18,1511247,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693493050/20230831110500.record.00034,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693493050/20230831110500.record.00034,Van1,1693493050,Blue Route,False,both,38480,14727,0.7232131110568158
baf0e4be-bede-11ee-835b-599066b5eb60,1.68563e+18,1.68563e+18,1604864,/Deployment_2_SEOhio/Blue Route/TRCVan1/1685632020/20230601110813.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1685632020/20230601110813.record.00000,Van1,1685632020,Blue Route,False,both,39283,13904,0.7385827363829507
6af236d6-d98f-11ee-a158-97f8443fd730,1.68564e+18,1.68564e+18,1657582,/Deployment_2_SEOhio/Blue Route/TRCVan1/1685639100/20230601130818.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1685639100/20230601130818.record.00000,Van1,1685639100,Blue Route,False,both,42312,12605,0.770471802902562
5afabc8c-f035-11ee-b966-fb353e7798cd,1.68565e+18,1.68565e+18,763435,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1685645040/20230601144626.record.00000,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1685645040/20230601144626.record.00000,Van1,1685639100,GreenRoute,False,both,17146,8177,0.677091971725309
39ba7438-d0d5-11ee-9435-f7e542e2436c,1.68927e+18,1.68927e+18,1721550,/Deployment_2_SEOhio/Blue Route/TRCVan1/1689270950/Van1_July13_bluev2f_auto_run1.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1689270950/Van1_July13_bluev2f_auto_run1.record.00000,Van1,1689270950,Blue Route,False,both,41858,15383,0.7312590625600531
c0624e24-d9aa-11ee-a158-97f8443fd730,1.69048e+18,1.69048e+18,1564597,/Deployment_2_SEOhio/Blue Route/TRCVan1/1690478153/20230727131843.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1690478153/20230727131843.record.00000,Van1,1690478153,Blue Route,False,both,42182,9740,0.8124109240784253
19b7ebd0-d9b7-11ee-a158-97f8443fd730,1.69048e+18,1.69048e+18,1579311,/Deployment_2_SEOhio/Blue Route/TRCVan1/1690480064/20230727135045.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1690480064/20230727135045.record.00000,Van1,1690480064,Blue Route,False,both,42893,9565,0.8176636547333105
47561998-d9c3-11ee-a158-97f8443fd730,1.69048e+18,1.69048e+18,1646997,/Deployment_2_SEOhio/Blue Route/TRCVan1/1690482007/20230727142227.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1690482007/20230727142227.record.00000,Van1,1690482007,Blue Route,False,both,43431,11345,0.7928837447057105
05c7c824-cab8-11ee-aa4d-1d66adf2f0c7,1.6909e+18,1.6909e+18,402467,/Deployment_2_SEOhio/RedRoute/TRCVan1/1690899717/20230801102652.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1690899717/20230801102652.record.00000,Van1,1690899717,RedRoute,False,both,4267,1263,0.7716094032549728
2462c9d0-eecd-11ee-9385-ef789ffde1d3,1.6909e+18,1.69091e+18,1635768,/Deployment_2_SEOhio/RedRoute/TRCVan1/1690903510/20230801112629.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1690903510/20230801112629.record.00000,Van1,1690903510,RedRoute,False,both,29355,25226,0.5378245176893058
94c53148-eeed-11ee-9385-ef789ffde1d3,1.69091e+18,1.69091e+18,1601232,/Deployment_2_SEOhio/RedRoute/TRCVan1/1690908929/20230801125722.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1690908929/20230801125722.record.00000,Van1,1690908929,RedRoute,False,both,42267,11027,0.7930911547266108
88a68dd8-eef9-11ee-9385-ef789ffde1d3,1.69091e+18,1.69091e+18,1649632,/Deployment_2_SEOhio/RedRoute/TRCVan1/1690911954/20230801134731.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1690911954/20230801134731.record.00000,Van1,1690911954,RedRoute,False,both,45878,9158,0.8335998255687187
86841630-d9d0-11ee-a158-97f8443fd730,1.6915e+18,1.69151e+18,918215,/Deployment_2_SEOhio/Blue Route/TRCVan1/1691504421/20230808102551.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1691504421/20230808102551.record.00000,Van1,1691504421,Blue Route,True,0,0,29251,0.0
4ed017ee-ef05-11ee-9385-ef789ffde1d3,1.69152e+18,1.69152e+18,1674660,/Deployment_2_SEOhio/RedRoute/TRCVan1/1691518309/20230808141500.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1691518309/20230808141500.record.00000,Van1,1691518309,RedRoute,True,0,0,55257,0.0
76683d3c-db18-11ee-a158-97f8443fd730,1.69228e+18,1.69228e+18,806998,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692282847/20230817103953.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692282847/20230817103953.record.00000,Van1,1692282847,Blue Route,False,both,19044,7867,0.70766601018171
3a2a78cc-db21-11ee-a158-97f8443fd730,1.69229e+18,1.69229e+18,958734,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692285096/20230817111424.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692285096/20230817111424.record.00000,Van1,1692285096,Blue Route,False,both,25163,6740,0.7887346017615898
f9d62032-db2a-11ee-a158-97f8443fd730,1.69229e+18,1.69229e+18,791198,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692287361/20230817115343.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692287361/20230817115343.record.00000,Van1,1692287361,Blue Route,False,both,18713,7394,0.7167809399777837
